eps,dataset,expertType,model,f1,precision,recall,llmName
0.6,Victim,human,Bayesian Network,0.8118141874550068,0.7601217456042392,0.8710503842869343,None
0.7,Victim,human,Bayesian Network,0.803625231417059,0.7584737670621721,0.8616398243045388,None
0.8,Victim,human,Bayesian Network,0.8073817183036425,0.7595296636090672,0.8654708520179372,None
0.9,Victim,human,Bayesian Network,0.8225677390916674,0.8195301691134697,0.8428246013667426,None
0.1,Victim,llm,Bayesian Network,0.8250887311446319,0.7785452642595498,0.8775510204081632,ChatGLM4Flash
0.2,Victim,llm,Bayesian Network,0.8419229971659639,0.7967046264741858,0.8925831202046036,ChatGLM4Flash
0.3,Victim,llm,Bayesian Network,0.7929402620684036,0.7367849363417163,0.8583617747440273,ChatGLM4Flash
0.4,Victim,llm,Bayesian Network,0.8340722545953936,0.7960659493300066,0.8847631241997439,ChatGLM4Flash
0.5,Victim,llm,Bayesian Network,0.8150380829403399,0.7738688440348424,0.8719262295081968,ChatGLM4Flash
0.6,Victim,llm,Bayesian Network,0.814278306067425,0.7967337435313524,0.8727583262169086,ChatGLM4Flash
0.7,Victim,llm,Bayesian Network,0.8029298064191502,0.7670951597496102,0.8616398243045388,ChatGLM4Flash
0.8,Victim,llm,Bayesian Network,0.8079588305770447,0.7600840908073584,0.8654708520179372,ChatGLM4Flash
0.9,Victim,llm,Bayesian Network,0.810185757839822,0.7735825506287641,0.8690205011389521,ChatGLM4Flash
0.2,Criminal,human,Bayesian Network,0.8964326014858433,0.8651074473818771,0.9301115241635688,None
0.4,Criminal,human,Bayesian Network,0.8893682020111244,0.8561408769917497,0.9252788104089219,None
0.5,Criminal,human,Bayesian Network,0.8868550321878511,0.8529582827422418,0.9235574063057703,None
0.6,Criminal,human,Bayesian Network,0.8888253276300506,0.8554530755517474,0.924907063197026,None
0.7,Criminal,human,Bayesian Network,0.8930040042313844,0.8607518944545975,0.9277671553006162,None
0.8,Criminal,human,Bayesian Network,0.8962979053329648,0.8669563119015274,0.9276951672862453,None
0.9,Criminal,human,Bayesian Network,0.8930724883711803,0.8630022088655658,0.9253139458030403,None
0.1,Criminal,llm,Bayesian Network,0.8899918368095684,0.8569312188002977,0.9257057949479941,Qwen
0.2,Criminal,llm,Bayesian Network,0.876901779714542,0.8403913710424123,0.916728624535316,Qwen
0.3,Criminal,llm,Bayesian Network,0.902988878779509,0.8734560413169482,0.9345887016848364,Qwen
0.4,Criminal,llm,Bayesian Network,0.9022219044895624,0.8733346804441037,0.9330855018587361,Qwen
0.5,Criminal,llm,Bayesian Network,0.8911874941143233,0.8589519238449307,0.9259369422962522,Qwen
0.6,Criminal,llm,Bayesian Network,0.8928082033556344,0.8605033712143897,0.9276332094175961,Qwen
0.7,Criminal,llm,Bayesian Network,0.898909273811574,0.8682581290385216,0.9318036966220523,Qwen
0.8,Criminal,llm,Bayesian Network,0.8923198439946443,0.861467032986069,0.9254646840148699,Qwen
0.9,Criminal,llm,Bayesian Network,0.8918261286079804,0.8669248294821329,0.9223397224058163,Qwen
0.2,Victim,human,Bayesian Network,0.8038326819275046,0.7805692176536166,0.8644501278772379,None
0.3,Victim,human,Bayesian Network,0.8262045122113382,0.8197543828943146,0.8805460750853242,None
0.4,Victim,human,Bayesian Network,0.7879754670665883,0.7314028694310385,0.8540332906530089,None
0.5,Victim,human,Bayesian Network,0.8064182171344298,0.7531252099570008,0.867827868852459,None
0.6,Victim,human,Bayesian Network,0.8084760038067172,0.7669626806889479,0.8676345004269855,None
0.7,Victim,human,Bayesian Network,0.8125357781233042,0.7791537678776143,0.8711566617862372,None
0.8,Victim,human,Bayesian Network,0.8020985755805131,0.7559803451235917,0.8616271620755925,None
0.9,Victim,human,Bayesian Network,0.8051791224943302,0.7564900642486951,0.8638952164009112,None
0.1,Victim,llm,Bayesian Network,0.8237426117988179,0.7905808477237048,0.8775510204081632,Qwen
0.2,Victim,llm,Bayesian Network,0.7748909425547478,0.755859400616434,0.8439897698209718,Qwen
0.3,Victim,llm,Bayesian Network,0.8195018808699334,0.7729553024384226,0.8720136518771331,Qwen
0.4,Victim,llm,Bayesian Network,0.818357887656745,0.7963556810579899,0.8745198463508322,Qwen
0.5,Victim,llm,Bayesian Network,0.7992974885457982,0.7629802502867167,0.860655737704918,Qwen
0.6,Victim,llm,Bayesian Network,0.8290386467285644,0.8332790070554267,0.874466268146883,Qwen
0.7,Victim,llm,Bayesian Network,0.8095926979941416,0.8038274958396784,0.8616398243045388,Qwen
0.8,Victim,llm,Bayesian Network,0.7955135434983769,0.7888457922115756,0.8456117873158232,Qwen
0.9,Victim,llm,Bayesian Network,0.7832375799716845,0.761828303139649,0.8109339407744874,Qwen
0.1,Criminal,human,Bayesian Network,0.8921628492314531,0.8596844096977672,0.9271916790490342,None
0.3,Criminal,human,Bayesian Network,0.8855976622766238,0.8513674255781221,0.9226957383548068,None
0.4,Criminal,human,Bayesian Network,0.8996974815878569,0.8692616188278216,0.9323420074349442,None
0.5,Criminal,human,Bayesian Network,0.8946770036743376,0.8628763189809755,0.9289113622843546,None
0.7,Criminal,human,Bayesian Network,0.8929882984103293,0.8614554208234085,0.9269173571276822,None
0.8,Criminal,human,Bayesian Network,0.8952191267201541,0.8697356045126705,0.9276951672862453,None
0.9,Criminal,human,Bayesian Network,0.8934231798658467,0.862222866898006,0.9269662921348315,None
0.1,Criminal,llm,Bayesian Network,0.8856535248983193,0.8514380841147289,0.9227340267459139,Qwen
0.2,Criminal,llm,Bayesian Network,0.9073262445543171,0.8789933804121004,0.937546468401487,Qwen
